english_word,part_of_speech,transcription,russian_word,speech
element,(n.),[ˈelɪmənt],"элемент, составная часть",[sound:element.mp3]
semester,(n.),[sɪˈmestə(r)],семестр,[sound:semester.mp3]
reader,(n.),[ˈriːdə(r)],"читатель, хрестоматия",[sound:reader.mp3]
ideally,(adv.),[aɪˈdiːəli],"идеально, превосходно",[sound:ideally.mp3]
December,(n.),[dɪˈsembə(r)],декабрь,[sound:december.mp3]
crucial,(adj.),[ˈkruːʃ(ə)l],"ключевой, критический",[sound:crucial.mp3]
automatic,(adj.),[ɔːtəˈmætɪk],"автоматический, машинальный",[sound:automatic.mp3]
swing,(n.),[swɪŋ],качели,[sound:swing.mp3]
source,(n.),[sɔːs],"источник, происхождение",[sound:source.mp3]
Thursday,(n.),[ˈθəːzdeɪ],четверг,[sound:thursday.mp3]
kindly,(adv.),[ˈkaɪnliː&nbsp;&nbsp;],"доброжелательно, сердечно",[sound:kindly.mp3]
vital,(adj.),[ˈvaɪt(ə)l],"жизненный, важный",[sound:vital.mp3]
approximately,(adv.),[əˈprɒksɪmətli],"приблизительно, близко, около",[sound:approximately.mp3]
tank,(n.),[tæŋk],"бак, резервуар",[sound:tank.mp3]
photograph,(n.),[ˈfoʊtəˌgræf],"фотография, снимок",[sound:photograph.mp3]
regard,(n.),[rɪˈɡɑːd],"внимание, забота, пожелания",[sound:regard.mp3]
spiritual,(adj.),[ˈspɪrɪtʃʊəl],духовный,[sound:spiritual.mp3]
piano,(n.),[pɪˈænəʊ],фортепьяно,[sound:piano.mp3]
league,(n.),[liːɡ],"лига, союз",[sound:league.mp3]
platform,(n.),[ˈplætfɔːm],"помост, платформа",[sound:platform.mp3]
wallet,(n.),[ˈwɒlɪt],бумажник,[sound:wallet.mp3]
swelling,(n.),[ˈswelɪŋ],опухоль,[sound:swelling.mp3]
fellow,(adj.),[ˈfeləʊ],принадлежащий к той же группе,[sound:fellow.mp3]
ally,(n.),[ˈælaɪ],"друг, союзник, сторонник",[sound:ally.mp3]
grocery store,(n.),[ˈgroʊsriː stɔː(r)],продовольственный магазин,[sound:grocery_store.mp3]
surprising,(adj.),[səˈpraɪzɪŋ],"внезапный, удивительный",[sound:surprising.mp3]
sweater,(n.),[ˈswetə(r)],свитер,[sound:sweater.mp3]
percentage,(n.),[pəˈsentɪdʒ],"процентное соотношение, количество",[sound:percentage.mp3]
overseas,(adv.),[ˌoʊvərˈsiːz],"за морем, за границей, за границу",[sound:overseas.mp3]
ruin,(n.),[ˈruːən],"развалина, крах",[sound:ruin.mp3]
decline,(v.),[dɪˈklaɪn],"спускаться, спадать, ухудшаться",[sound:decline.mp3]
opponent,(n.),[əˈpoʊnənt],"опонент, конкурент, соперник",[sound:opponent.mp3]
manufacture,(n.),[mænjʊˈfæktʃə(r)],"изделие, обработка, мануфактура",[sound:manufacture.mp3]
rider,(n.),[ˈraɪdə(r)],"всадник, наездник",[sound:rider.mp3]
strike,(n.),[straɪk],"забастовка, удар",[sound:strike.mp3]
highlight,(n.),[ˈhaɪlaɪt],"блик, пятно, кульминация",[sound:highlight.mp3]
parliament,(n.),[ˈpɑːləmənt],парламент,[sound:parliament.mp3]
democratic,(adj.),[deməˈkrætɪk],демократичный,[sound:democratic.mp3]
transport,(v.),[ˈtrænspɔːt],"перевозить, везти, перемещать",[sound:transport.mp3]
nervously,(adv.),[ˈnərvəsli],нервно,[sound:nervously.mp3]
stare,(n.),[ˈster],пристальный взгляд,[sound:stare.mp3]
specially,(adv.),[ˈspeʃəlɪ],"специально, особенно",[sound:specially.mp3]
indoor,(adv.),[ˈɪndɔː(r)],находящийся или происходящий в помещении,[sound:indoor.mp3]
barrier,(n.),[ˈbærɪə(r)],"барьер, препятствие",[sound:barrier.mp3]
Monday,(n.),[ˈmʌndeɪ],понедельник,[sound:monday.mp3]
consumer,(n.),[kənˈsjuːmə(r)],потребитель,[sound:consumer.mp3]
recovery,(n.),[rɪˈkʌvərɪ],"выздоровление, восстановление",[sound:recovery.mp3]
welcome,(adj.),[ˈwelkəm],"желанный, долгожданный",[sound:welcome.mp3]
battle,(n.),[ˈbæt(ə)l],"битва, борьба",[sound:battle.mp3]
bay,(n.),[beɪ],"бухта, залив",[sound:bay.mp3]
tackle,(n.),[ˈtæk(ə)l],блокировка (игрока),[sound:tackle.mp3]
regarding,(prep.),[rɪˈgɑrdɪŋ],"относительно, касательно",[sound:regarding.mp3]
hip,(n.),[hɪp],бедро,[sound:hip.mp3]
united,(adj.),[juːˈnaɪtɪd],"соединённый, объединённый",[sound:united.mp3]
cycling,(n.),[ˈsaɪklɪŋ],велоспорт,[sound:cycling.mp3]
closet,(n.),[ˈklɒzɪt],"шкаф, чулан, кладовка",[sound:closet.mp3]
break,(n.),[ˈbreɪk],"разрыв, перерыв, прорыв, шанс",[sound:break.mp3]
flying,(n.),[ˈflaɪɪŋ],"полёт, перелёт, летание",[sound:flying.mp3]
rival,(n.),[ˈraɪv(ə)l],"соперник, конкурент",[sound:rival.mp3]
keyboard,(n.),[ˈkiːˌbɔrd],клавиатура,[sound:keyboard.mp3]
disability,(n.),[dɪsəˈbɪlɪtɪ],"бессилие, неспособность",[sound:disability.mp3]
umbrella,(n.),[ʌmˈbrelə],зонт,[sound:umbrella.mp3]
tip,(v.),[tɪp],"наклоняться, перевешивать",[sound:tip.mp3]
passion,(n.),[ˈpæʃ(ə)n],"страсть, предмет страсти",[sound:passion.mp3]
holy,(adj.),[ˈhəʊlɪ],"святой, праведный",[sound:holy.mp3]
link,(v.),[lɪŋk],"связывать, компоновать",[sound:link.mp3]
funeral,(n.),[ˈfjuːnər(ə)l],похороны,[sound:funeral.mp3]
traditionally,(adv.),[trəˈdɪʃən(ə)lɪ],"по традиции, традиционно, обычно",[sound:traditionally.mp3]
stir,(v.),[stəː(r)],"размешивать, шевелить, двигать",[sound:stir.mp3]
beneath,(prep.),[bɪˈniːθ],"ниже, под",[sound:beneath.mp3]
victim,(n.),[ˈvɪktɪm],жертва,[sound:victim.mp3]
host,(v.),[həʊst],"принимать гостей, выступать в роли хозяина",[sound:host.mp3]
pleasantly,(adv.),[ˈplezəntli],"весело, радостно, привлекательно",[sound:pleasantly.mp3]
concerned,(adj.),[kənˈsəːnd],"заинтересованный, увлечённый",[sound:concerned.mp3]
mad,(adj.),[mæd],"бешенный, безумный",[sound:mad.mp3]
photographer,(n.),[fəˈtɑgrəfər],фотограф,[sound:photographer.mp3]
receipt,(n.),[rɪˈsiːt],квитанция,[sound:receipt.mp3]
curve,(v.),[ˈkərv],"гнуть, изгибать",[sound:curve.mp3]
critic,(n.),[ˈkrɪtɪk],критик,[sound:critic.mp3]
unreasonable,(adj.),[ʌnˈriːzənəb(ə)l],"бессмысленно, необоснованно",[sound:unreasonable.mp3]
remarkable,(adj.),[rɪˈmɑːkəb(ə)l],"замечательный, выдающийся, поразительный",[sound:remarkable.mp3]
stroke,(v.),[strəʊk],"гладить, ласкать (рукой)",[sound:stroke.mp3]
p.m.,(lat.),[ˌpiːˈem],(post meridiem) после полудня,[sound:p_m.mp3]
sharply,(adv.),[ˈʃɑrplɪ],"круто, внезапно, резко",[sound:sharply.mp3]
extreme,(n.),[ɪkˈstriːm],"крайний, предельный",[sound:extreme.mp3]
tin,(n.),[tɪn],олово,[sound:tin.mp3]
mate,(v.),[meɪt],спариваться (о животных),[sound:mate.mp3]
cheaply,(adv.),[ˈtʃiːpli],"по низкой цене, дёшево",[sound:cheaply.mp3]
behalf,(n.),[bɪˈhɑːf],"от чьего-л. имени (лица), по чьему-л. поручению",[sound:behalf.mp3]
craft,(n.),[krɑːft],"ремесло, профессия",[sound:craft.mp3]
rank,(n.),[ræŋk],"шеренга, ряд, ранг",[sound:rank.mp3]
colored,(adj.),[ˈkʌləd],"окрашенный, раскрашенный",[sound:colored.mp3]
infectious,(adj.),[ɪnˈfekʃəs],"заразный, инфекционный",[sound:infectious.mp3]
warmth,(n.),[wɔːmθ],тепло,[sound:warmth.mp3]
sadly,(adv.),[ˈsædlɪ],"печально, грустно",[sound:sadly.mp3]
discount,(n.),[ˈdɪskaʊnt],"скидка, дисконт",[sound:discount.mp3]
stressed,(adj.),[ˈstrest],"ударный, ударенный",[sound:stressed.mp3]
emerge,(v.),[ɪˈməːdʒ],"появляться, всплывать, выходить",[sound:emerge.mp3]
gather,(v.),[ˈɡæðə(r)],"собираться, собирать, делать вывод",[sound:gather.mp3]
punch,(n.),[pʌntʃ],ударять кулаком,[sound:punch.mp3]
likely,(adv.),[ˈlaɪkliː],"вероятный, возможный",[sound:likely.mp3]
equivalent,(n.),[ɪˈkwɪvələnt],эквивалент,[sound:equivalent.mp3]
wound,(n.),[wuːnd],"рана, ранение",[sound:wound.mp3]
envelope,(n.),[ˈɒnvələʊp],"конверт, обертка, обложка",[sound:envelope.mp3]
elsewhere,(adv.),[ˈelsweə(r)],где-то в другом месте,[sound:elsewhere.mp3]
annually,(adv.),[ˈænjʊəlɪ],ежегодно,[sound:annually.mp3]
potentially,(adv.),[pəˈtenʃ(ə)li],потенциально,[sound:potentially.mp3]
sympathetic,(adj.),[sɪmpəˈθetɪk],"сочувствующий, симпатичный",[sound:sympathetic.mp3]
motion,(n.),[ˈməʊʃ(ə)n],"движение, жест",[sound:motion.mp3]
opposition,(n.),[əˈpəʊz],"противодействие, сопротивление, неприятие",[sound:opposition.mp3]
praise,(v.),[preɪz],"хвалить, восхвалять",[sound:praise.mp3]
demonstration,(n.),[demənˈstreɪʃ(ə)n],"демонстрация, наглядный показ",[sound:demonstration.mp3]
permit,(v.),[ˈpəːmɪt],"позволять, разрешать",[sound:permit.mp3]
capture,(n.),[kæptʃə(r)],"захват, поимка",[sound:capture.mp3]
entirely,(adv.),[ɪnˈtaɪə(r)li],"вполне, всецело, полностью",[sound:entirely.mp3]
delay,(v.),[dɪˈleɪ],"откладывать, задерживать",[sound:delay.mp3]
tap,(v.),[tæp],"постукивать, обстукивать, хлопать",[sound:tap.mp3]
complete,(v.),[kəmˈpliːt],"завершать, заполнять",[sound:complete.mp3]
creature,(n.),[ˈkriːtʃə(r)],"создание, творение, существо",[sound:creature.mp3]
lack,(v.),[ˈlæk],"нуждаться, не иметь",[sound:lack.mp3]
strangely,(adv.),[ˈstreɪndʒlɪ],"странно, необычно, удивительно",[sound:strangely.mp3]
launch,(v.),[ˈlɔntʃ],"начинать (действия), запускать (ракету),спускать (судно)",[sound:launch.mp3]
concerning,(prep.),[kənˈsəːnɪŋ],"касательно, относительно",[sound:concerning.mp3]
aid,(n.),[eɪd],"помощь, поддержка",[sound:aid.mp3]
ministry,(n.),[ˈmɪnɪstrɪ],министерство,[sound:ministry.mp3]
relaxing,(adj.),[rɪˈlæks],"расслабляющий, смягчающий",[sound:relaxing.mp3]
cycle,(v.),[ˈsaɪk(ə)l],"проходить, вращаться, ездить на велосипеде",[sound:cycle.mp3]
suffering,(n.),[ˈsʌfrɪŋ],"страдание, боль, мука",[sound:suffering.mp3]
chat,(v.),[tʃæt],"болтать, беседовать",[sound:chat.mp3]
calm,(v.),[ˈkɑm],"успокаивать, затихнуть (... down)",[sound:calm.mp3]
weekly,(adj.),[ˈwiːklɪ],еженедельный,[sound:weekly.mp3]
goodbye,(n.),[ɡʊdˈbaɪ],прощание,[sound:goodbye.mp3]
guide,(v.),[ˈgaɪd],"вести, направлять, управлять",[sound:guide.mp3]
survey,(v.),[ˈsəːveɪ],"проводить опрос, делать обзор",[sound:survey.mp3]
reward,(n.),[rɪˈwɔːd],"награда, премия",[sound:reward.mp3]
swing,(v.),[swɪŋ],"качаться, поворачиваться",[sound:swing.mp3]
lane,(n.),[ˈleɪn],"дорожка, полоса, переулок",[sound:lane.mp3]
absent,(adj.),[ˈæbs(ə)nt],"отсутствующий, несуществующий",[sound:absent.mp3]
additional,(adj.),[əˈdɪʃən(ə)l],"добавочный, дополнительный",[sound:additional.mp3]
yet,(conj.),[ˈjet],"однако, тем не менее",[sound:yet.mp3]
liberal,(adj.),[ˈlɪbər(ə)l],"свободомыслящий, без предрассудков",[sound:liberal.mp3]
fancy,(adj.),[ˈfænsɪ],"модный, необычный",[sound:fancy.mp3]
brand,(n.),[brænd],"торговая марка, бренд",[sound:brand.mp3]
military,(adj.),[ˈmɪlɪtərɪ],военный,[sound:military.mp3]
departure,(n.),[dɪˈpɑːtʃə(r)],"отъезд, отправление",[sound:departure.mp3]
honor,(n.),[ˈɒnə(r)],"честь, почесть",[sound:honor.mp3]
issue,(v.),[ˈɪʃuː],"издавать,выдавать, выписывать",[sound:issue.mp3]
upside down,(adv.),[ˈəpˌsaɪd ˈdæʊn],"вверх дном, инвертированный",[sound:upside_down.mp3]
devoted,(adj.),[dɪˈvəʊtid],"преданный, верный, любящий",[sound:devoted.mp3]
primary,(adj.),[ˈpraɪmərɪ],"первичный, начальный",[sound:primary.mp3]
determine,(v.),[dɪˈtəːmɪn],"определять, устанавливать",[sound:determine.mp3]
suspect,(v.),[ˈsʌspekt],"подозревать, сомневаться",[sound:suspect.mp3]
make-up,(n.),[ˈmeɪkʌp],косметика,[sound:make-up.mp3]
scene,(n.),[siːn],сцена,[sound:scene.mp3]
oddly,(adv.),[ˈɒdlɪ],странно,[sound:oddly.mp3]
scream,(n.),[skriːm],"вопль, пронзительный крик, визг",[sound:scream.mp3]
surely,(adv.),[ˈʃɔːlɪ],"конечно, непременно, обязательно",[sound:surely.mp3]
jelly,(n.),[ˈdʒelɪ],желе,[sound:jelly.mp3]
capacity,(n.),[kəˈpæsɪtɪ],"ёмкость, объём, способность (что-л. делать)",[sound:capacity.mp3]
edition,(n.),[ɪˈdɪʃ(ə)n],"издание, публикация, тираж",[sound:edition.mp3]
impatiently,(adv.),[ɪmˈpeɪʃəntli],нетерпеливо,[sound:impatiently.mp3]
anxiety,(n.),[æŋˈzaɪətɪ],"тревога, боязнь, страх",[sound:anxiety.mp3]
strip,(v.),[strɪp],"раздевать, снимать, обнажать",[sound:strip.mp3]
coach,(n.),[kəʊtʃ],"тренер, (..... class) экономкласс, коляска, экипаж",[sound:coach.mp3]
bend,(n.),[ˈbend],"поворот, изгиб, излучина",[sound:bend.mp3]
justified,(adj.),[ˈdʒəstəˌfaɪd ],"обоснованный, оправданный",[sound:justified.mp3]
addition,(n.),[əˈdɪʃ(ə)n],"добавление, прибавление",[sound:addition.mp3]
swimming,(n.),[ˈswɪmɪŋ],плавание,[sound:swimming.mp3]
normal,(n.),[ˈnɔːm(ə)l],нормальное состояние,[sound:normal.mp3]
lately,(adv.),[ˈleɪtliː],недавно,[sound:lately.mp3]
encounter,(n.),[ɪnˈkaʊntə(r)],случайная встреча,[sound:encounter.mp3]
command,(v.),[kəˈmænd],"приказывать, командовать",[sound:command.mp3]
steadily,(adv.),[ˈstedəliː],"устойчиво, уверенно",[sound:steadily.mp3]
dressed,(adj.),[ˈdrest],"одетый, украшенный",[sound:dressed.mp3]
cupboard,(n.),[ˈkʌbəd],"буфет, сервант",[sound:cupboard.mp3]
frightening,(adj.),[ˈfraɪtnɪŋ],пугающий,[sound:frightening.mp3]
slight,(adj.),[ˈslaɪtlɪ],"незначительный, несерьезный, худой",[sound:slight.mp3]
alphabetically,(adv.),[ælfəˈbetɪk(ə)li],"по алфавиту, в алфавитном порядке",[sound:alphabetically.mp3]
experienced,(adj.),[ɪkˈspɪərɪənst],"знающий, опытный",[sound:experienced.mp3]
household,(n.),[ˈhaʊshəʊld],"семейство, домочадцы, хозяйство",[sound:household.mp3]
author,(n.),[ˈɔːθə(r)],автор,[sound:author.mp3]
tropical,(adj.),[ˈtrɒpɪk(ə)l],"тропический, горячий, страстный",[sound:tropical.mp3]
removal,(n.),[rɪˈmuːv(ə)l],"удаление, вывоз, перемещение",[sound:removal.mp3]
frequently,(adv.),[ˈfriːkwəntli],часто,[sound:frequently.mp3]
cure,(n.),[ˈkjʊə(r)],"лечение, лекарство",[sound:cure.mp3]
minimum,(adj.),[ˈmɪnɪməm],минимальный,[sound:minimum.mp3]
former,(n.),[ˈfɔːmə(r)],"создатель, разработчик (чего-л.), изобретатель",[sound:former.mp3]
cease,(v.),[siːs],"переставать (делать что-л.), прекращать",[sound:cease.mp3]
regard,(v.),[rɪˈɡɑːd],"относится, считать, расценивать",[sound:regard.mp3]
concern,(n.),[kənˈsəːn],"беспокойство, интерес",[sound:concern.mp3]
generation,(n.),[dʒenəˈreɪʃ(ə)n],поколение,[sound:generation.mp3]
vertical,(adj.),[ˈvəːtɪk(ə)l],"вертикальный, отвесный",[sound:vertical.mp3]
except,(conj.),[ɪkˈsept],"за исключением того, что",[sound:except.mp3]
adequate,(adj.),[ˈædɪkwət],"соответствующий, достаточный",[sound:adequate.mp3]
certain,(pron.),[ˈsərtən],"некто, некое лицо",[sound:certain.mp3]
premises,(n.),[ˈpremɪsɪz],недвижимость,[sound:premises.mp3]
consideration,(n.),[kənsɪdəˈreɪʃ(ə)n],"размышление, обсуждение",[sound:consideration.mp3]
impressed,(adj.),[ɪmˈprest],впечатленный,[sound:impressed.mp3]
restore,(v.),[rɪˈstɔː(r)],"возвращать, восстанавливать",[sound:restore.mp3]
excluding,(prep.),[ɪkˈskluːdin],исключая,[sound:excluding.mp3]
sailor,(n.),[ˈseɪlə(r)],"матрос, моряк",[sound:sailor.mp3]
basketball,(n.),[ˈbɑːskɪtbɔːl],баскетбол и мяч для него,[sound:basketball.mp3]
variation,(n.),[veərɪˈeɪʃ(ə)n],"изменение, колебание",[sound:variation.mp3]
curious,(adj.),[ˈkjʊərɪəs],"любопытный, пытливый",[sound:curious.mp3]
dominate,(v.),[ˈdɒmɪneɪt],"управлять, контролировать",[sound:dominate.mp3]
book,(v.),[ˈbʊk],"заказать, забронировать",[sound:book.mp3]
amazing,(adj.),[əˈmeɪzɪŋ],"изумительный, поразительный, удивительный",[sound:amazing.mp3]
network,(n.),[ˈnetwəːk],"сеть, совокупность",[sound:network.mp3]
February,(n.),[ˈfebrʊərɪ],февраль,[sound:february.mp3]
wind,(v.),[ˈwɪnd],"наматывать, заводить , крутить",[sound:wind.mp3]
hearing,(n.),[ˈhɪərɪŋ],слух,[sound:hearing.mp3]
conventional,(adj.),[kənˈvenʃən(ə)l],"обычный, традиционный",[sound:conventional.mp3]
withdraw,(v.),[wɪðˈdrɔː],"удаляться, отказываться, извлекать",[sound:withdraw.mp3]
finely,(adv.),[ˈfaɪnli],"тонко, превосходно",[sound:finely.mp3]
January,(n.),[ˈdʒænjʊərɪ],январь,[sound:january.mp3]
acquire,(v.),[əˈkwaɪə(r)],"обзаводиться, приобретать, покупать",[sound:acquire.mp3]
percent,(n.),[pə ˈsent],"процент, доля",[sound:percent.mp3]
thinking,(n.),[ˈθɪŋkɪŋ],"размышление, мышление",[sound:thinking.mp3]
online,(adj.),[ɒnˈlaɪn],подключенный,[sound:online.mp3]
extra,(n.),[ˈekstrə],"статист, доплата, наценка",[sound:extra.mp3]
cancer,(n.),[ˈkænsə(r)],рак (болезнь),[sound:cancer.mp3]
faint,(adj.),[feɪnt],"слабый, вялый, тусклый",[sound:faint.mp3]
blade,(n.),[bleɪd],"лезвие, листовая пластинка",[sound:blade.mp3]
eager,(adj.),[ˈiːɡə(r)],"страстно желающий, жаждущий",[sound:eager.mp3]
industrial,(adj.),[ɪnˈdʌstrɪəl],"индустриальный, промышленный",[sound:industrial.mp3]
justify,(v.),[ˈdʒəstəˌfaɪ ],"объяснять, оправдывать",[sound:justify.mp3]
cable,(n.),[ˈkeɪb(ə)l],электрокабель,[sound:cable.mp3]
cracked,(adj.),[kræked],"треснувший, надломившийся",[sound:cracked.mp3]
breast,(n.),[brest],грудь,[sound:breast.mp3]
varied,(adj.),[ˈveərɪd],"различный, меняющийся",[sound:varied.mp3]
runner,(n.),[ˈrʌnə(r)],"бегун, гонец",[sound:runner.mp3]
tune,(v.),[ˈtuːn],настраивать (инструмент),[sound:tune.mp3]
establish,(v.),[ɪˈstæblɪʃ],учреждать,[sound:establish.mp3]
concept,(n.),[ˈkɒnsept],"понятие, идея, концепция",[sound:concept.mp3]
precise,(adj.),[prɪˈsaɪs],"точный, определённый",[sound:precise.mp3]
surrounding,(adj.),[səˈræʊndɪŋ],"ближний, соседний, окружающий",[sound:surrounding.mp3]
amusing,(adj.),[əˈmjuːzɪŋ],"забавный, занимательный",[sound:amusing.mp3]
critical,(adj.),[ˈkrɪtɪk(ə)l],"критический, решающий",[sound:critical.mp3]
broadcast,(n.),[brɔːdkɑːst],"радио- или телевещание, трансляция",[sound:broadcast.mp3]
eventually,(adv.),[ɪˈventjʊəlɪ],"в итоге, в конце концов",[sound:eventually.mp3]
sea,(n.),[siː],море,[sound:sea.mp3]
armed,(adj.),[ˈɑrmd],"вооружённый, укрепленный",[sound:armed.mp3]
working,(adj.),[ˈwəːkɪŋ],"рабочий, работающий",[sound:working.mp3]
commission,(n.),[kəˈmɪʃ(ə)n],"коммитет, комиссионое вознаграждение",[sound:commission.mp3]
pin,(v.),[ˈpɪn],"прикалывать, скреплять",[sound:pin.mp3]
blonde,(n.),[blɒnd],блондинка,[sound:blonde.mp3]
manufacturer,(n.),[mænjʊˈfæktʃ(ə)rə],"производитель, фабрикант",[sound:manufacturer.mp3]
fortune,(n.),[ˈfɔːtʃuːn],"удача, доля, судьба",[sound:fortune.mp3]
decoration,(n.),[dekəˈreɪʃ(ə)n],"украшение, убранство",[sound:decoration.mp3]
package,(v.),[ˈpækɪdʒ],"упаковывать, укладывать",[sound:package.mp3]
